,2,6,12,16,20
200,0.05,0.06,0.16,0.28,0.615
250,0.02,0.07,0.14500000000000002,0.215,0.46
350,0.05,0.07,0.09,0.13,0.27
400,0.07,0.07,0.08499999999999999,0.11,0.205
450,0.04,0.07,0.07500000000000001,0.125,0.19
600,0.11,0.06,0.065,0.095,0.135
750,0.05,0.05,0.065,0.09,0.095
